"dataset","algorithm","AMI","ARI","FMeasure","homogeneity","majority","VI","silhouette"
"Lung : non-malignant","Scran",0.12,0.05,0.31,0.12,0.55,3.27,0.11
"Lung : non-malignant","Seurat",0.58,0.35,0.55,0.64,0.65,2.8,0.01
"Colorectal : non-malignant","AltAnalyze",0.35,0.05,0.35,0.64,1,3.44,-0.37
"Colorectal : non-malignant","Ascend",0.31,0.26,0.55,0.31,0.54,2.13,-0.05
"Colorectal : non-malignant","bigSCale",0.61,0.58,0.8,0.76,1,1.61,0.09
"Colorectal : non-malignant","Cell Ranger",0.45,0.36,0.66,0.45,0.9,1.41,0.19
"Colorectal : non-malignant","CIDR",0.14,0.05,0.4,0.14,0.5,3.51,-0.1
"Colorectal : non-malignant","Monocle",0.59,0.47,0.69,0.62,0.76,1.76,-0.04
"Colorectal : non-malignant","pcaReduce",0.5,0.3,0.59,0.75,1,2.21,-0.2
"Colorectal : non-malignant","PhenoGraph",0.14,0.11,0.44,0.14,0.5,3.18,-0.2
"Colorectal : non-malignant","RaceID",0.28,0.19,0.46,0.29,0.71,2.99,-0.41
"Colorectal : non-malignant","RCA",0.6,0.5,0.74,0.74,0.96,1.65,-0.06
"Colorectal : non-malignant","SC3",0.7,0.64,0.82,0.87,1,1.1,0.01
"Colorectal : non-malignant","Scran",0.06,0.03,0.39,0.06,0.38,3.22,-0.03
"Colorectal : non-malignant","Seurat",0.45,0.47,0.68,0.45,0.67,1.64,0.09
"Colorectal : non-malignant","SINCERA",0.64,0.62,0.83,0.78,0.91,1.45,-0.19
"Colorectal : non-malignant","TSCAN",0.15,0.05,0.43,0.15,0.51,3.16,-0.02
"Pancreatic : non-malignant","bigSCale",0.76,0.7,0.8,0.87,0.97,1.16,0.26
"Pancreatic : non-malignant","Cell Ranger",0.58,0.44,0.62,0.88,0.96,2.22,0.18
"Pancreatic : non-malignant","Monocle",0.44,0.15,0.29,0.95,0.99,3.63,-0.06
"Pancreatic : non-malignant","pcaReduce",0.53,0.35,0.52,0.88,0.96,2.57,0.2
"Pancreatic : non-malignant","Scran",0.06,0.01,0.28,0.06,0.86,3.17,-0.08
"Pancreatic : non-malignant","Seurat",0.67,0.59,0.73,0.96,0.99,1.47,0.1
"Metastatic melanoma : non-malignant","AltAnalyze",0.04,0.02,0.34,0.1,0.71,4.47,-0.23
"Metastatic melanoma : non-malignant","Ascend",0.27,0.15,0.55,0.35,0.67,2.26,0.06
"Metastatic melanoma : non-malignant","bigSCale",0.44,0.27,0.61,0.87,0.99,1.75,0.13
"Metastatic melanoma : non-malignant","Cell Ranger",0.34,0.19,0.51,0.76,0.95,2.43,0.12
"Metastatic melanoma : non-malignant","CIDR",0.61,0.5,0.73,0.8,0.97,1.01,0.13
"Metastatic melanoma : non-malignant","Monocle",0.29,0.1,0.41,0.9,1,3.17,0.1
"Metastatic melanoma : non-malignant","pcaReduce",0.28,0.08,0.35,0.93,1,3.42,0.06
"Metastatic melanoma : non-malignant","PhenoGraph",0.05,0.01,0.35,0.09,0.66,3.94,-0.07
"Metastatic melanoma : non-malignant","RaceID",0.21,0.1,0.41,0.64,1,3.92,-0.36
"Metastatic melanoma : non-malignant","RCA",0.51,0.44,0.7,0.9,1,1.38,-0.08
"Metastatic melanoma : non-malignant","SC3",0.29,0.11,0.4,0.83,1,3.18,-0.04
"Metastatic melanoma : non-malignant","Scran",0.04,0.02,0.47,0.05,0.67,3.2,-0.09
"Metastatic melanoma : non-malignant","Seurat",0.43,0.28,0.64,0.89,1,1.82,0.16
"Metastatic melanoma : non-malignant","SINCERA",0.29,0.15,0.5,0.77,1,3.04,-0.21
"Metastatic melanoma : non-malignant","TSCAN",0.36,0.21,0.55,0.79,0.98,2.31,0.08
"AML : non-malignant","AltAnalyze",0.25,0.08,0.27,0.28,1,5.49,-0.52
"AML : non-malignant","Ascend",0.35,0.28,0.41,0.35,0.35,2.63,0.17
"AML : non-malignant","bigSCale",0.52,0.42,0.57,0.52,0.53,2.42,0.15
"AML : non-malignant","Cell Ranger",0.61,0.51,0.63,0.61,0.57,2.43,0.21
"AML : non-malignant","CIDR",0.42,0.29,0.46,0.42,0.45,3.71,-0.08
"AML : non-malignant","Monocle",0.6,0.42,0.62,0.78,0.86,2.61,0.03
"AML : non-malignant","pcaReduce",0.48,0.29,0.44,0.63,0.63,3.74,0.11
"AML : non-malignant","PhenoGraph",0.29,0.14,0.34,0.29,0.43,4.88,-0.17
"AML : non-malignant","RaceID",0.27,0.18,0.36,0.27,0.65,4.85,-0.1
"AML : non-malignant","RCA",0.55,0.42,0.56,0.7,0.75,3.12,-0.15
"AML : non-malignant","SC3",0.61,0.52,0.64,0.61,0.55,1.98,0.11
"AML : non-malignant","Scran",0.17,0.06,0.27,0.17,0.42,4.92,-0.02
"AML : non-malignant","Seurat",0.78,0.7,0.82,0.78,0.89,1.5,0.1
"AML : non-malignant","SINCERA",0.47,0.39,0.54,0.64,0.67,3.78,-0.14
"AML : non-malignant","TSCAN",0.35,0.2,0.37,0.35,0.46,4.42,0.09
